City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
459,Santa Rosa,PH,81.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
460,Saint George,US,72.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
462,Abonnema,NG,76.51,overcast clouds,4.7084,6.7931,Corper's Lodge Obonoma
463,Puerto Padre,CU,87.01,overcast clouds,21.195,-76.6028,El Paseo
464,Kuching,MY,77.22,few clouds,1.55,110.3333,The Ranee Boutique Suites
465,Sao Gabriel Da Cachoeira,BR,82.2,thunderstorm,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
469,Nizwa,OM,79.66,scattered clouds,22.9333,57.5333,Orient Apartments
471,Ajdabiya,LY,72.21,broken clouds,30.7554,20.2263,Almadina Hotel
477,Bela,IN,72.66,clear sky,25.9333,81.9833,Raj Bhawan
481,Pangkalanbuun,ID,73.72,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
484,San Policarpo,PH,79.66,overcast clouds,12.1791,125.5072,Agapita M. Nicart
487,Inirida,CO,85.32,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
490,Aden,YE,85.12,broken clouds,12.7794,45.0367,Sama Emirate Hotel
493,Vanimo,PG,76.12,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
494,Andros Town,BS,82.36,broken clouds,24.7,-77.7667,Hanks place
495,Gushikawa,JP,76.23,overcast clouds,26.3544,127.8686,Kirari Guest House
508,Viedma,AR,80.04,clear sky,-40.8135,-62.9967,Hotel Cristal
509,San Vicente,AR,75.07,scattered clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
511,Soyo,AO,76.12,scattered clouds,-6.1349,12.3689,Hotel Mpampa
513,Yenagoa,NG,75.61,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
517,Mazamari,PE,80.37,overcast clouds,-11.3258,-74.5308,Hospedaje Ratto
518,Nishihara,JP,76.28,overcast clouds,26.1842,127.7558,Minshuku Agaihama
520,Talipparamba,IN,75.79,light rain,12.05,75.35,RAMIS RESIDENCY
522,Pilar,BR,82.33,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
523,Santarem,BR,87.93,few clouds,-2.4431,-54.7083,Ecotur Lodge
529,Wilmington,US,82.0,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
532,Port Keats,AU,82.92,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
537,Atar,MR,87.12,clear sky,20.5169,-13.0499,Oumou Elghoura
539,Takoradi,GH,77.81,light rain,4.8845,-1.7554,Raybow International Hotel
542,Isiolo,KE,70.97,overcast clouds,0.3546,37.5822,Gaddisa Hotel
545,Phonhong,LA,73.83,scattered clouds,18.5007,102.4166,Manyvong Guest House
547,Muisne,EC,80.71,overcast clouds,0.6,-80.0333,Quinta Samay
548,Labuhan,ID,79.23,few clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
549,America Dourada,BR,85.41,broken clouds,-11.4553,-41.4361,Pousada do Ninho
550,Bilma,NE,86.88,clear sky,18.6853,12.9164,Expeditions Ténére voyages
552,Umm Lajj,SA,79.92,clear sky,25.0213,37.2685,Moon light Furnished Units
554,Bandarbeyla,SO,77.68,scattered clouds,9.4942,50.8122,JABIR HOTEL
555,Pacific Grove,US,72.16,overcast clouds,36.6177,-121.9166,Lovers Point Inn
556,Ingham,US,73.09,clear sky,42.6,-84.3833,Sunset Mobile Home Park
560,Arawa,PG,78.01,overcast clouds,-6.2132,155.5367,Coastline Guest House
564,Cabinda,AO,76.24,broken clouds,-5.55,12.2,Hotel Maiombe
566,Chakradharpur,IN,71.67,overcast clouds,22.7,85.6333,SPOT ON 49653 Rajasthan Guest House SPOT
567,Iralaya,HN,86.09,overcast clouds,15.0,-83.2333,Iglesia morava renovada
