City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
183,Puerto Escondido,MX,15.85,-97.0667,86.83,66,75,10.36,broken clouds
184,Fougamou,GA,-1.2154,10.5838,73.69,98,100,2.21,moderate rain
185,Vila Velha,BR,-20.3297,-40.2925,64.35,94,75,14.97,mist
186,Geilo,NO,60.5333,8.2076,41.7,96,95,12.19,overcast clouds
187,Mongo,TD,12.1844,18.693,79.45,64,100,6.78,overcast clouds
188,Casimiro Castillo,MX,19.6,-104.4333,85.46,63,43,4.83,light rain
189,Saldanha,ZA,-33.0117,17.9442,59.05,84,77,18.61,broken clouds
190,Tuktoyaktuk,CA,69.4541,-133.0374,26.98,84,87,8.16,overcast clouds
191,Sitio Novo Do Tocantins,BR,-5.5183,-47.4611,94.93,46,20,2.3,few clouds
192,Akyab,MM,20.15,92.9,79.27,86,100,4.56,heavy intensity rain
193,Suntar,RU,62.1444,117.6319,33.42,94,100,6.76,overcast clouds
194,Lorengau,PG,-2.0226,147.2712,81.0,78,82,6.26,broken clouds
195,Moerai,PF,-22.4333,-151.3333,74.75,80,53,11.14,broken clouds
196,Kamaishi,JP,39.2667,141.8833,49.35,78,6,9.69,clear sky
197,Bubaque,GW,11.2833,-15.8333,82.8,77,100,12.59,overcast clouds
198,Simi,SL,9.5667,-12.35,76.46,93,100,4.12,light rain
199,Georgetown,MY,5.4112,100.3354,76.95,96,40,2.3,moderate rain
200,Kahului,US,20.8947,-156.47,82.42,64,20,13.8,few clouds
201,Buchanan,LR,5.8808,-10.0467,78.76,85,100,7.4,overcast clouds
202,Carnduff,CA,49.1667,-101.8009,37.38,44,100,7.67,overcast clouds
203,Faanui,PF,-16.4833,-151.75,79.02,79,18,9.42,light rain
204,Hithadhoo,MV,-0.6,73.0833,81.05,77,100,11.39,overcast clouds
205,Lagoa,PT,39.05,-27.9833,68.77,60,49,1.61,scattered clouds
206,Newport,GB,51.5877,-2.9984,53.71,89,100,9.46,heavy intensity rain
207,Zaraza,VE,9.3503,-65.3245,89.29,51,95,2.51,overcast clouds
208,East London,ZA,-33.0153,27.9116,64.69,83,10,16.2,clear sky
209,Fort Nelson,CA,58.8053,-122.7002,43.25,67,18,4.63,few clouds
210,Chokurdakh,RU,70.6333,147.9167,-15.66,95,97,2.84,overcast clouds
211,Zhanaozen,KZ,43.3,52.8,42.84,59,27,10.98,scattered clouds
212,Avarua,CK,-21.2078,-159.775,77.05,61,20,6.91,few clouds
213,Bowen,AU,-20.0167,148.2333,76.73,82,20,10.54,few clouds
214,Atuona,PF,-9.8,-139.0333,76.95,81,26,12.5,light rain
215,Leiva,CO,1.9339,-77.3025,72.81,73,92,2.53,light rain
216,Tukrah,LY,32.5341,20.5791,68.43,71,46,12.12,scattered clouds
217,Banda Aceh,ID,5.5577,95.3222,78.82,77,100,1.92,overcast clouds
218,Ivanivka,UA,46.7208,34.553,46.44,67,18,8.12,few clouds
219,Jiwani,PK,25.05,61.7417,79.05,76,7,8.81,clear sky
220,Aguascalientes,MX,21.8833,-102.3,80.55,22,20,10.36,few clouds
221,Haines Junction,CA,60.7522,-137.5108,30.15,93,63,0.0,broken clouds
222,Morales,CO,2.757,-76.6172,67.32,89,98,2.33,overcast clouds
223,Valenzuela,ES,37.7756,-4.2204,73.85,41,41,4.32,scattered clouds
224,Shache,CN,38.4167,77.2406,55.13,22,65,5.55,broken clouds
225,Samarai,PG,-10.6167,150.6667,80.8,81,97,6.55,overcast clouds
226,Punta Alta,AR,-38.8759,-62.0736,76.93,35,3,6.13,clear sky
227,Barcelos,PT,41.5388,-8.6151,65.84,93,22,3.47,few clouds
